zip,city,state,county,units_2014,fc_2016,fc_2015,fc_2014,fc_2013,fc_2012,fc_2011,fc_2010,fc_2009,fc_2008
98039,Medina,Washington,King,1214,5,1,1,8,6,4,10,13,4
98040,Mercer Island,Washington,King,10139,19,15,9,36,28,29,53,50,25
98041,Bothell,Washington,King,0,,,,0,0,0,0,0,
98042,Kent,Washington,King,16818,147,198,205,375,327,351,471,429,247
98043,Mountlake Terrace,Washington,Snohomish,8652,46,61,72,115,154,182,163,116,71
98045,North Bend,Washington,King,5880,34,48,53,81,80,91,107,76,39
98046,Lynnwood,Washington,Snohomish,0,,,,0,0,0,0,0,
98047,Pacific,Washington,King,2475,16,33,25,54,55,62,68,88,49
98050,Preston,Washington,King,55,1,,2,0,1,1,0,1,1
98051,Ravensdale,Washington,King,1287,12,10,12,24,19,21,25,24,14
98052,Redmond,Washington,King,26472,57,64,80,128,164,246,273,147,86
98053,Redmond,Washington,King,8200,24,29,45,58,46,61,67,74,47
98054,Redondo,Washington,King,0,,,,0,0,0,0,0,
98055,Renton,Washington,King,9186,71,91,84,150,160,167,226,180,97
98056,Renton,Washington,King,13631,55,92,99,193,196,231,302,200,139
98057,Renton,Washington,King,6251,32,23,22,91,125,70,106,60,59
